word	count	source_files
00's	6	3
00099x	1	1
000acre	18	3
000bc	6	3
000foot	6	3
000man	6	3
000mile	12	3
000pound	8	4
000squarekilometer	6	3
000squaremile	12	3
000th	16	3
000yard	6	3
000yearold	22	3
00881c	1	1
00ff00	12	1
00z	1	1
0123456789abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz	24	3
01s	4	1
02em	2	1
02x	6	1
043foot	6	3
04em	2	1
055em	2	1
056foothigh	6	3
058foot	6	3
05s	4	1
06110b	2	1
090b0e	14	2
09afaf	6	2
09s	12	3
0a1710	2	1
0ai	4	1
0alpha	1	1
0b0e11	2	1
0based	1	1
0coa	10	4
0coenzyme	1	1
0d1115	2	1
0dcacoa	13	3
0dcalpa	2	1
0digalactosyldiacylglycerol	6	3
0e	1	1
0e4	1	1
0e5	2	1
0e6	2	1
0f	14	3
0l	2	1
0lpa	1	1
0millionsquaremile	6	3
0monogalactosyldiacylglycerol	29	3
0orlater	6	3
0phosphatidylglycerol	13	3
0s	12	3
0t	2	2
0x10ffff	2	1
0x1f90a532850	6	3
0x64qbz5n2kfra8p0	3	1
1's	8	2
1000hertz	1	1
1000th	18	3
100265m	10	3
100amino	1	1
100c6	6	3
100cr6	6	3
100dvh	4	1
100fold	6	3
100inch	6	3
100kg	24	3
100metre	8	3
100ms	2	1
100residue	1	1
100th	108	6
100thmost	6	3
100to700footdeep	6	3
100um	3	1
100vh	2	1
100year	18	3
10151a	2	1
101st	16	3
1023b	2	1
102squaremile	6	3
102story	8	3
1037c	4	1
103rd	16	3
1040s	12	3
104th	24	3
1050s	24	3
105th	22	3
109milelong	12	3
10a	67	4
10anthraquinone	4	1
10azaanthracene	2	1
10b	20	4
10beta	31	3
10betadicarboxylic	2	1
10betahydroxylase	5	3
10betahydroxylating	1	1
10betahydroxytaxa4	2	1
10betalabda8	21	3
10bhydroxylase	1	1
10ch	14	2
10ch2h4folate	12	1
10cooh	1	1
10deacetyl2debenzoylbaccatin	1	1
10deacetylbaccatin	5	2
10decanediaminium	1	1
10deoxysarpagine	4	1
10desacetyltaxuyunnanin	1	1
10diaminium	2	2
10dihydroanthracen9yl	20	2
10dihydroanthracene9	6	3
10dihydrodiol	1	1
10dihydrodiolphenanthrene	1	1
10dihydrodiolsulfate	1	1
10dihydroxy2	4	3
10dihydroxybenzo	5	3
10dihydroxydodecane	1	1
10dihydroxyoctadecanoate	1	1
10dihydroxyphenanthrene	1	1
10dihydroxystearate	3	2
10dimethylspiro	1	1
10dioate	6	3
10diol	9	4
10dioxygenase	8	3
10diseco3hydroxy5	4	2
10disecoandrosta1	2	1
10dodecatrien3ol	1	1
10dodecatriene	1	1
10e	32	1
10episode	6	3
10epoxide	12	3
10epoxy18hydroxystearate	7	3
10epoxyoctadecanoate	1	1
10epoxystearate	10	3
10epoxystearic	1	1
10f	2	1
10formyl	2	2
10formyl5	2	1
10formyl7	1	1
10formyldihydrofolate	2	1
10formylh2ptglu	1	1
10formylh4folate	1	1
10formyltetrahydrofolate	38	3
10formyltetrahydrofolate4acarbinolamine	2	1
10formyltetrahydropteroylglutamic	1	1
10formylthf	8	2
10fthf	1	1
10gon	2	1
10h	3	1
10h2o	2	1
10hcoh	1	1
10hexachloro1	6	2
10hexachloro6	1	1
10hexahydro3	3	3
10hydrolase	1	1
10hydrolyase	2	1
10hydroxy10	2	2
10hydroxy11s	1	1
10hydroxy9	6	2
10hydroxyalphahumulene	1	1
10hydroxycaprate	1	1
10hydroxydecanoate	2	1
10hydroxydihydrosanguinarine	6	2
10hydroxygeranial	3	2
10hydroxygeraniol	3	2
10hydroxylase	9	3
10hydroxylating	2	1
10hydroxystearate	3	1
10hydroxytaxane	5	2
10k	2	1
10kda	3	1
10ke	4	1
10kev	4	1
10m	72	3
10membered	8	3
10methenyl5	9	3
10methenyltetrahydrofolate	10	2
10methenyltetrahydrofolateforming	1	1
10methenyltetrahydromethanopterin	4	1
10methenyltetrahydropteroylglutamate	1	1
10methenylthf	1	1
10methoxy6	1	1
10methyl1	1	1
10methylene	1	1
10methylene5	5	2
10methylenetetrahydrofolate	99	3
10methylenetetrahydrofolatedependent	12	3
10methylenetetrahydrofolic	2	1
10methylenetetrahydromethanopterin	8	1
10methylenetetrahydropteroylglutamate	12	1
10methylenethf	1	1
10methylundecyl	2	2
10minute	6	3
10monooxygenase	8	3
10ms	2	1
10nm	3	1
10oacetyltransferase	3	2
10omethyltransferase	4	2
10oxabenzo	1	1
10oxide	4	1
10oxidoreductase	1	1
10oxodecanoate	1	1
10oxogeraniol	3	2
10oxooctahydro6	1	1
10pentaenedial	3	1
10phenanthroline	1	1
10pm	12	3
10px	46	2
10r	16	4
10rdihydrodiolphenanthrene	12	3
10rforming	4	3
10s	14	2
10secoandrosta1	13	2
10secocholesta5	1	1
10secoergosta5	2	1
10sforming	4	3
10step	1	1
10tetrahydro6	1	1
10tetramethoxy2	2	2
10tetramethyl	1	1
10tetramethyl1oxaspiro	2	2
10tetramethyl6decene	1	1
10tetramethyl8	3	3
10th	1116	6
10thcentury	28	3
10thgreatest	14	3
10thlargest	18	3
10thmost	6	3
10thmostfrequently	6	3
10thsmallest	18	3
10transgeranylgeranyl	5	1
10trien1yl	3	3
10trihydroxy2	1	1
10trihydroxy3methylanthracen9	1	1
10trihydroxy3methylanthracen9one	2	1
10trihydroxy6a	2	2
10trihydroxy6imino3a	3	3
10trioxo1	3	1
10yearold	6	3
10z	2	1
10α	4	2
10β	11	2
10βeudesma3	1	1
1100s	12	3
1100um	3	1
110acre	6	3
110kilometrewide	6	3
110ms	1	1
110story	6	3
110th	32	6
11161a	2	1
11161b	4	1
1120px	2	1
1130s	36	3
1140s	12	3
114squarekilometre	6	3
115th	28	6
115thlargest	12	3
1170s	16	3
117milelong	6	3
11a	40	4
11adecahydropyrano	3	3
11aethyl1ethynyl1hydroxy1	2	2
11alpha	41	3
11alpha30dihydroxy	3	2
11alphaepidioxy15hydroxyprosta5	8	1
11alphaepoxypregn4ene3	1	1
11alphahydroxy9	2	1
11alphahydroxybetaamyrin	6	3
11alphahydroxylase	2	1
11alphahydroxylating	1	1
11alphahydroxyprogesterone	1	1
11alphamonooxygenase	5	3
11am	12	3
11amethanocyclohepta	2	2
11amonooxygenase	1	1
11ar	2	1
11as	7	1
11atetradecahydro7	2	2
11atetrahydro1	2	2
11b	11	2
11bdihydrobenz	1	1
11bdihydroindeno	2	2
11bdimethyltetradecahydro8	2	2
11benzyl7	1	1
11beta	17	2
11beta17	2	1
11betadehydrogenase	3	1
11betahydroxy	1	1
11betahydroxylase	2	1
11betahydroxylating	1	1
11betahydroxyprogesterone	4	2
11betahydroxysteroid	28	3
11betamonooxygenase	5	3
11billion	2	1
11cis	37	3
11cis13transicosatetraenoate	3	1
11cis3	1	1
11cis3hydroxyretinal	1	1
11cisretinal	9	2
11cisretinol	15	2
11cisretinyl	2	1
11cisretinylpalmitate	4	2
11cistransisomerase	2	1
11cla	1	1
11coupled	10	6
11dehydrothromboxane	1	1
11delta7	3	1
11demethyl17deacetylvindoline	1	1
11deoxycorticosterone	21	3
11deoxycortisol	5	2
11dien5alpha	1	1
11dien5alphaol	5	1
11dien5alphayl	6	1
11diene	14	4
11diene5	4	2
11diene5α	1	1
11dieneforming	2	1
11dienoate	1	1
11dienoateforming	1	1
11dienoic	3	2
11dihydro2	9	3
11dihydro5	3	2
11dihydro6methyl5	1	1
11dihydrodibenzo	2	2
11dihydroxy10	2	2
11dihydroxy5methoxy10	1	1
